drone_id,latitude,longitude,altitude,speed,battery,packet_sequence,speed_alt_ratio,battery_drain_rate,attack_type,is_anomaly
drone_9,34.055619,-118.257364,136.84,52.1,58.98,12502,0.378,41.02,DOS,1
drone_2,34.071231,-118.233622,282.34,7.36,83.85,111,0.026,16.15,NORMAL,0
drone_4,34.06169,-118.257595,64.54,13.55,72.11,68,0.2067,27.89,NORMAL,0
drone_8,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_10,34.066928,-118.237464,184.92,24.97,67.33,277,0.1343,32.67,NORMAL,0
drone_3,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_9,34.049312,-118.24639,13.6,0.61,2.34,1826,0.0418,97.66,JAMMING,1
drone_10,34.038986,-118.255303,138.17,15.81,85.45,979,0.1136,14.55,NORMAL,0
drone_10,34.049776,-118.238247,253.66,13.89,86.56,870,0.0545,13.44,NORMAL,0
drone_6,34.059951,-118.232638,260.7,14.12,83.1,865,0.054,16.9,NORMAL,0
drone_7,34.045084,-118.23698,120.68,14.24,76.42,654,0.117,23.58,NORMAL,0
drone_2,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_2,34.052355,-118.228953,251.38,18.89,75.42,175,0.0748,24.58,NORMAL,0
drone_6,34.047436,-118.257915,273.55,22.79,88.61,1488,0.083,11.39,NORMAL,0
drone_9,34.062896,-118.245634,126.04,48.32,42.56,87441,0.3804,57.44,DOS,1
drone_3,34.0572,-118.2387,100.0,10.0,75.0,500,0.099,25.0,REPLAY_ATTACK,1
drone_7,34.501283,-117.874885,119.1,86.66,74.05,1704,0.7216,25.95,GPS_SPOOFING,1
drone_1,34.054486,-118.25278,161.44,16.52,99.11,1371,0.1017,0.89,NORMAL,0
drone_10,34.070046,-118.237088,162.04,20.85,78.83,638,0.1279,21.17,NORMAL,0
drone_3,34.042377,-118.244376,4.92,0.9,8.74,1995,0.152,91.26,JAMMING,1
